Company/Brand,Car Name,Battery Capacity (CC),Horsepower (hp),Top Speed (km/h),Acceleration (time in seconds to reach 100km/h),Price ($),Fuel Type,Seats,Torque (Nm)
Volkswagen,Golf Country,1781 cc,98,165,12,25000,P,5,170
Volkswagen,Jetta GLI,1984 cc,228,250,6.5,31000,P,5,350
Volkswagen,Arteon Shooting Brake,1984 cc,272,250,5.6,50000,P,5,420
Volkswagen,T-Cross R-Line,999 cc / 1498 cc,272,200,8.5,27000,P,5,250
Volkswagen,Golf R32,3189 cc,240,250,6.2,40000,P,5,320
Volkswagen,Passat B7,1598 cc / 1984 cc,272,220,8.5,26000,P,5,280
Volkswagen,Scirocco 16V,1781 cc,137,220,7.1,35000,P,4,230
Volkswagen,Polo BlueMotion,1199 cc,272,190,10.5,20000,D,5,210
Volkswagen,Golf Variant GTD,1968 cc,184,230,7.5,38000,D,5,380
Volkswagen,Polo GTI R5,1598 cc,272,200,4.1,45000,P,5,400
Volkswagen,ID. Buzz Pro,77 kWh,204,145,10.2,60000,E,7,310
Volkswagen,Jetta Hybrid,1395 cc,170,210,8.6,28000,H,5,250
Volkswagen,Golf Variant Alltrack,1968 cc,272,220,7.8,35000,P,5,320
Volkswagen,Volkswagen XL1,800 cc + Electric Motor,68,160,11.9,150000,H,2,140
Volkswagen,Golf TDI,1968 cc,272,220,8,28000,D,5,350
Volkswagen,Passat Variant,1498 cc / 1968 cc,272,220,8.5,30000,P,5,280
Volkswagen,Polo GTI Clubsport,1984 cc,300,240,6.7,30000,P,5,320
Volkswagen,Jetta Hybrid,1395 cc,170,210,8.6,28000,H,5,250
Volkswagen,ID.3 GTX,77 kWh,299,180,6.2,45000,E,5,310
Volkswagen,Arteon R-Line,1984 cc,272,250,5.6,50000,P,5,420
Volkswagen,Golf TGI,1498 cc,130,220,8.8,30000,P,5,200
Volkswagen,Scirocco GTS,1984 cc,220,246,6.5,35000,P,4,350
Volkswagen,Caddy Maxi,1968 cc,272,180,12,25000,D,7,250
Volkswagen,Volkswagen Lupo 3L,1199 cc,61,165,14.5,20000,D,4,140
Volkswagen,Polo Beats,999 cc,95,187,9.5,22000,P,5,175
Volkswagen,Passat Hybrid,1395 cc,215,210,7.4,32000,H,5,330
Volkswagen,Golf TCR,1984 cc,290,250,5.6,40000,P,5,370
Volkswagen,Tiguan R-Line,1984 cc,272,250,4.9,45000,P,5,420
Volkswagen,Sharan Business,1968 cc,272,200,8.3,35000,D,7,350
Volkswagen,ID. Buzz Cargo Pro,77 kWh,204,145,10.2,55000,E,2,310
Volkswagen,Arteon 280 TSI,1984 cc,280,250,5.6,50000,P,5,350
Volkswagen,Jetta GLI 35th,1984 cc,228,250,6.5,31000,P,5,350
Volkswagen,Beetle Final Edition,1984 cc,174,205,7,25000,P,4,250
Volkswagen,Golf Variant TDI,1968 cc,272,220,7.8,30000,D,5,350
Volkswagen,Golf 4MOTION,1968 cc,272,250,4.9,40000,P,5,400
Volkswagen,Jetta SportWagen,1395 cc / 1968 cc,272,200,8.5,27000,P,5,250
Volkswagen,Polo GTI Plus,1984 cc,207,237,6.7,30000,P,5,320
Volkswagen,Touareg V6,2967 cc,272,235,7.5,60000,P,5,450
Volkswagen,Tiguan eHybrid,1395 cc + Battery,245,200,7.5,42000,H,5,400
Volkswagen,Up! e-up!,32.3 kWh,83,130,11.9,23000,E,4,210
Volkswagen,Amarok V8,3996 cc,272,210,7.4,70000,D,5,580
Volkswagen,Golf R Cabriolet,1984 cc,265,250,5.9,45000,P,4,380
Volkswagen,Passat Alltrack TDI,1968 cc,190,220,8,40000,D,5,400
Volkswagen,ID. Buzz Cargo EV,77 kWh,204,145,10.2,55000,E,2,310
Nissan,Versa,1598 cc,272,180,10.4,16700,P,5,154
Nissan,Micra,999 cc,272,175,10.8,15500,P,5,160
Nissan,Patrol Platinum,5552 cc,272,210,7.3,77000,P,7,560
Nissan,Qashqai,1332 cc,272,195,8.9,26000,P,5,260
Nissan,Murano,3498 cc,272,210,7.5,39000,P,5,325
Nissan,Maxima Platinum,3498 cc,272,220,6.2,45000,P,5,353
Nissan,Armada,5552 cc,272,210,6.5,51000,P,8,560
Nissan,Kicks,1598 cc,272,180,10.7,20000,P,5,154
Nissan,X-Trail,1498 cc,272,200,8,29000,H,5,305
Nissan,Z (Fairlady Z),2997 cc,272,250,4.5,40000,P,2,475
Nissan,Almera,999 cc,272,185,10.7,14500,P,5,160
Nissan,Sylphy,1798 cc,272,190,9.6,18000,P,5,174
Nissan,Note,1198 cc,272,170,11.5,16000,H,5,150
Nissan,Sunny,1598 cc,272,180,11,15000,P,5,156
Nissan,Cube,1798 cc,272,175,10.6,14500,P,5,171
Nissan,Juke,999 cc,272,180,10.4,25000,P,5,180
Nissan,Terrano,1461 cc,272,168,13.5,15500,D,5,248
Nissan,Magnite,999 cc,272,160,13,12000,P,5,160
Nissan,Xterra,3954 cc,272,200,7.8,35000,P,7,381
Nissan,Patrol,5552 cc,272,210,7.3,77000,P,7,560
Nissan,GT-R NISMO,3799 cc,272,330,2.9,220000,P,2,652
Nissan,370Z Roadster,3696 cc,272,250,5.5,41820,P,2,366
Nissan,Ariya,87 kWh,272,200,5.1,58950,E,5,600
Nissan,Patrol Royale,5552 cc,272,210,6.6,85000,P,7,560
Nissan,Infiniti QX80*,5552 cc,272,210,6.5,70600,P,7,560
Nissan,Tiida,1598 cc,272,190,10.1,14500,P,5,154
Nissan,Pulsar,1197 cc,272,190,10.7,19000,P,5,190
Nissan,Latio,1498 cc,272,175,11.5,13000,P,5,139
Nissan,Bluebird Sylphy,1997 cc,272,185,10.5,18500,P,5,191
Nissan,March,1198 cc,272,170,13.7,12000,P,5,106
Nissan,Rogue Sport,1997 cc,272,190,9.8,24960,P,5,199
Nissan,X-Trail Hybrid,1997 cc,272,180,9.4,28500,H,5,207
Nissan,Pathfinder Rock Creek,3498 cc,272,190,7.4,42820,P,7,351
Nissan,Armada Platinum,5552 cc,272,210,6.5,65300,P,8,560
Nissan,Terrano XL,1598 cc,272,165,12.5,14000,P,5,145
Nissan,GT-R50 by Italdesign,3799 cc,272,315,2.5,1100000,P,2,780
Nissan,370Z NISMO,3696 cc,272,250,5.2,45790,P,2,374
Nissan,Ariya E-4ORCE,87 kWh,272,200,5.1,60000,E,5,600
Nissan,Patrol NISMO,5552 cc,272,210,6.5,105000,P,7,560
Nissan,Infiniti Q60*,2997 cc,272,250,5,41750,P,4,400
Nissan,Primera,1998 cc,272,200,9.6,20000,P,5,190
Nissan,Skyline,2997 cc,272,250,5,50000,P,5,475
Nissan,Cedric,1998 cc,272,190,10.5,22000,P,5,190
Nissan,Gloria,2498 cc,272,210,8.6,30000,P,5,250
Nissan,Stanza,1796 cc,272,175,11,18500,P,5,170
Nissan,Patrol Super Safari,4750 cc,272,190,8.2,55000,P,7,451
Nissan,Pathfinder Hybrid,2488 cc,272,190,7.7,42500,H,7,329
Nissan,X-Terra Pro-4X,2498 cc,272,175,10.8,40000,P,7,240
Nissan,Rogue Platinum,1497 cc,272,180,8.2,38000,P,5,300
Nissan,Qashqai Tekna,1332 cc,272,190,9.2,36000,H,5,270
Nissan,GT-R V-Spec,3799 cc,272,330,2.8,175000,P,2,652
Nissan,Skyline NISMO,2997 cc,272,270,4.7,55000,P,5,475
Nissan,Ariya Lounge Edition,87 kWh,272,200,5.1,63000,E,5,600
Nissan,Patrol Titanium,5552 cc,272,210,6.5,98000,P,7,560
Nissan,Infiniti FX50*,5026 cc,272,250,5.6,61750,P,5,500
Nissan,Avenir,1998 cc,272,180,9.8,20000,P,5,186
Nissan,Wingroad,1798 cc,272,175,10.8,18000,P,5,168
Nissan,Presea,1838 cc,272,170,11.5,17500,P,5,161
Nissan,Leopard,2960 cc,272,200,8.4,32000,P,5,265
Nissan,Sunny NISMO Edition,1598 cc,272,200,7.5,24000,P,5,240
Nissan,Paladin,2438 cc,272,180,10.6,20000,P,5,217
Nissan,Hardbody SUV,2498 cc,272,175,11,18500,P,5,225
Nissan,Patrol Desert Edition,5552 cc,272,210,6.5,95000,P,7,560
Nissan,Pathfinder Armada,5552 cc,272,200,6.5,60000,P,7,560
Nissan,Rogue Midnight Edition,1497 cc,272,180,8.2,39000,P,5,300
Nissan,GT-R Black Edition,3799 cc,272,330,2.8,ssS185000.0,P,2,652
Nissan,Fairlady Z Heritage,2997 cc,272,250,4.2,48000,P,2,475
Nissan,Skyline GT-R R34,2568 cc,272,250,5.6,70000,P,4,392
Nissan,Ariya Premiere,87 kWh,272,200,5.1,67000,E,5,600
Nissan,Infiniti QX55*,1997 cc,272,230,6.5,50000,P,5,380
Nissan,NV350 Caravan,2488 cc,272,155,12.5,28000,D,8,356
Nissan,Navara,2298 cc,272,180,10.2,32000,D,5,450
Nissan,Titan XD,5552 cc,272,195,6.9,55000,P,6,560
Nissan,Evalia,1461 cc,272,140,15,25000,D,7,200
Nissan,Cabstar,2488 cc,272,145,14.8,27000,D,3,350
Nissan,Cherry,1397 cc,272,145,14,14000,P,5,110
Nissan,Laurel,2825 cc,272,160,12.5,22000,D,5,184
Nissan,Silvia,1998 cc,272,235,5.9,45000,P,4,275
Nissan,NX Coupe,1998 cc,272,200,9,22000,P,4,180
Nissan,AD Wagon,1498 cc,272,165,12.3,16000,P,5,150
Nissan,Patrol Super Safari Y61,4750 cc,272,190,8.2,58000,P,7,451
Nissan,Pathfinder Rock Creek Edition,3498 cc,272,195,7.2,44000,P,7,351
Nissan,Terrano II,2664 cc,272,160,12.9,28000,D,5,278
Nissan,Murano CrossCabriolet,3498 cc,272,195,7.6,47000,P,4,325
Nissan,X-Trail Tekna,1497 cc,272,190,8,43000,H,5,305
Nissan,GT-R LM NISMO,3000 cc,272,320,3,600000,H,2,650
Nissan,Skyline 400R,2997 cc,272,250,4.5,70000,P,5,475
Nissan,Infiniti G37*,3696 cc,272,250,5.5,42000,P,5,365
Nissan,Patrol Black Edition,5552 cc,272,200,6.5,85000,P,7,560
Nissan,Ariya Empower+,87 kWh,272,200,5.1,68000,E,5,600
Nissan,Datsun 510 (Classic),1595 cc,272,175,10.2,25000,P,4,135
Nissan,200SX,1998 cc,272,240,7.2,30000,P,4,265
Nissan,300ZX,2960 cc,272,250,5.9,50000,P,4,384
Nissan,R390 GT1 Road Car,3495 cc,272,354,3.3,1000000,P,2,637
Nissan,Figaro,987 cc,272,170,12.8,20000,P,4,103
Nissan,Hardbody Truck,2389 cc,272,160,10.6,25000,P,5,206
Nissan,Atlas,2999 cc,272,130,18,35000,D,3,300
Nissan,Clipper,659 cc,272,110,18.5,10000,P,4,62
Nissan,NV200,1998 cc,272,140,14,28000,P,7,188
Nissan,Violet,1770 cc,272,155,13.8,18000,P,5,130
Nissan,Bluebird Z,1998 cc,272,190,11,23000,P,5,180
Nissan,Stanza Wagon,2389 cc,272,160,12,22000,P,7,205
Nissan,180SX,1998 cc,272,240,6.8,35000,P,4,275
Nissan,Sunny California,1597 cc,272,170,11,18000,P,5,140
Nissan,Patrol Warrior,5552 cc,272,205,6.3,95000,P,7,580
Nissan,Pathfinder Armada Platinum,5552 cc,272,190,6.8,70000,P,7,560
Nissan,Rogue Sport SL,1998 cc,272,190,9,32000,P,5,195
Nissan,X-Trail Platinum Edition,1497 cc,272,190,8,46000,H,5,305
Nissan,Qashqai e-Power,1497 cc,272,200,7.5,40000,H,5,330
Nissan,GT-R Egoist,3799 cc,272,315,2.8,220000,P,2,637
Nissan,Infiniti M45*,4494 cc,272,250,5.8,50000,P,5,451
Nissan,Skyline 50th Anniversary,2997 cc,272,250,4.5,75000,P,5,475
Nissan,Ariya Dual Motor AWD,87 kWh,272,200,5.1,70000,E,5,600
Nissan,Patrol Legend Edition,5552 cc,272,205,6.3,95000,P,7,580
Nissan,Datsun 240Z (Classic),2393 cc,272,210,8,45000,P,2,198
Nissan,100NX,1597 cc,272,185,9.6,18000,P,4,135
Nissan,Cedric Special Edition,2960 cc,272,225,8.5,60000,P,5,330
Nissan,300ZX Turbo,2960 cc,272,250,5.9,55000,P,4,384
Nissan,Silvia S15 Spec-R,1998 cc,272,240,5.6,35000,P,4,300
Nissan,NV400,2298 cc,272,150,15,40000,D,3,360
Nissan,Titan Warrior,5552 cc,272,180,7,55000,P,5,560
Nissan,Caravan Coach,2498 cc,272,140,14,30000,D,7,260
Nissan,Serena e-Power,1198 cc,272,160,12,35000,H,7,320
Nissan,Elgrand,3498 cc,272,200,8.5,50000,P,7,344
Nissan,Datsun 510,1595 cc,272,175,10.2,25000,P,4,135
Nissan,Prairie,1998 cc,272,175,11,18000,P,5,170
Nissan,Pulsar GTI-R,1998 cc,272,225,6,30000,P,5,280
Nissan,Almera Tino,1769 cc,272,180,12.5,15000,P,5,160
Nissan,Lucino,1597 cc,272,185,10.5,12000,P,5,150
Nissan,Rasheen,1497 cc,272,165,13,10000,P,5,135
Nissan,Mistral,2663 cc,272,160,12.5,25000,D,7,260
Nissan,Patrol Y60,4169 cc,272,160,12,45000,D,7,330
Nissan,X-Trail GT,1998 cc,272,215,6.4,38000,P,5,310
Nissan,Terrano Regulus,3275 cc,272,175,10,28000,P,5,290
Nissan,President,4494 cc,272,210,7.5,70000,P,5,400
Nissan,Cima,4130 cc,272,210,8,60000,P,5,390
Nissan,Leopard J. Ferie,2960 cc,272,215,6.5,45000,P,5,340
Nissan,Gloria Gran Turismo,2960 cc,272,220,6.5,50000,P,5,340
Nissan,Infiniti Q45*,4494 cc,272,240,6.2,50000,P,5,450
Nissan,Datsun 240Z,2393 cc,272,210,8,45000,P,2,198
Nissan,280ZX,2753 cc,272,205,9.5,35000,P,2,210
Nissan,Silvia S13,1809 cc,272,215,6.8,20000,P,4,230
Nissan,200SX,1998 cc,272,225,7,25000,P,4,260
Nissan,NX Coupe,1839 cc,272,200,9,18000,P,4,180
Nissan,NV2500,3954 cc,272,160,10,36000,P,2,385
Nissan,NV3500,5552 cc,272,170,9,42000,P,2,525
Nissan,NT400 Cabstar,2953 cc,272,140,15,35000,D,3,350
Porsche,Panamera,2894 cc,272,270,5.6,88000,P,4,450
Porsche,Panamera 4,2894 cc,272,270,5.4,92000,P,4,450
Porsche,Panamera 4S,2894 cc,272,289,4.4,105000,P,4,550
Porsche,Panamera Turbo S,3996 cc,272,315,3.1,180000,P,4,820
Porsche,Panamera GTS,3996 cc,272,300,3.9,130000,P,4,620
Porsche,Panamera Platinum Edition,2894 cc,272,270,5.4,102000,P,4,450
Porsche,Panamera E-Hybrid,17.9 kWh Battery,272,280,4.4,115000,H,4,700
Porsche,Panamera 4 E-Hybrid Sport Turismo,17.9 kWh Battery,272,280,4.4,120000,H,4,700
Porsche,Panamera Turbo S E-Hybrid,17.9 kWh Battery,272,315,3.2,190000,H,4,870
Porsche,Panamera 4 Executive,2894 cc,272,270,5.6,95000,P,4,450
Porsche,Cayenne,2995 cc,272,245,5.9,80000,P,5,450
Porsche,Cayenne Coupe,2995 cc,272,245,6,85000,P,5,450
Porsche,Cayenne S,2894 cc,272,265,5,95000,P,5,550
Porsche,Cayenne Turbo,3996 cc,272,286,4,130000,P,5,770
Porsche,Cayenne GTS,3996 cc,272,270,4.5,110000,P,5,620
Porsche,Cayenne Turbo S E-Hybrid,17.9 kWh Battery,272,295,3.6,170000,H,5,900
Porsche,Macan,1984 cc,272,232,6.2,60000,P,5,400
Porsche,Macan S,2894 cc,272,259,4.8,75000,P,5,520
Porsche,Macan GTS,2894 cc,272,272,4.5,85000,P,5,550
Porsche,Macan T,1984 cc,272,232,6.2,65000,P,5,400
Porsche,911 Carrera,2981 cc,272,293,4.2,110000,P,4,450
Porsche,911 Carrera S,2981 cc,443,308,3.5,131300,P,4,528
Porsche,911 Carrera 4,2981 cc,379,293,4.2,106500,P,4,450
Porsche,911 Carrera 4S,2981 cc,443,306,3.4,113300,P,4,528
Porsche,911 Targa 4,2981 cc,379,289,4.4,121300,P,4,450
Porsche,911 Turbo,3745 cc,572,320,2.7,197200,P,4,750
Porsche,911 Turbo S,3745 cc,640,330,2.6,230400,P,4,800
Porsche,911 GT3,3996 cc,502,318,3.4,161100,P,2,469
Porsche,911 GT3 RS,3996 cc,518,296,3.2,241300,P,2,465
Porsche,911 Dakar,2981 cc,473,240,3.4,222000,P,2,570
Porsche,Taycan,79.2 kWh,402,230,5.4,86700,E,4,344
Porsche,Taycan 4S,79.2 kWh,522,250,4,103800,E,4,640
Porsche,Taycan Turbo,93.4 kWh,670,260,3.2,150900,E,4,850
Porsche,Taycan Turbo S,93.4 kWh,750,260,2.8,185000,E,4,1050
Porsche,Taycan GTS,93.4 kWh,590,250,3.5,132750,E,4,850
Porsche,Taycan Cross Turismo,93.4 kWh,469,220,4.8,97700,E,5,500
Porsche,Taycan Sport Turismo,79.2 kWh,509,240,4.1,104000,E,5,650
Porsche,718 Cayman,1988 cc,300,275,4.9,63400,P,2,380
Porsche,718 Cayman S,2497 cc,350,285,4.4,75400,P,2,420
Porsche,718 Cayman GT4,3995 cc,414,302,4.2,100200,P,2,420
Porsche,718 Cayman GT4 RS,3996 cc,493,315,3.2,141700,P,2,450
Porsche,718 Boxster,1988 cc,300,275,4.9,65500,P,2,380
Porsche,718 Boxster T,1988 cc,300,275,4.7,69600,P,2,380
Porsche,718 Boxster GTS,3995 cc,394,293,4.3,90300,P,2,430
Porsche,718 Spyder,3995 cc,414,301,4.1,98300,P,2,420
Porsche,Panamera Base,2894 cc,325,265,5.6,92300,P,4,450
Porsche,Panamera 4 E-Hybrid,2894 cc,462,280,4.4,113300,H,4,700
Porsche,Panamera 4 Sport Turismo,2894 cc,325,265,5.5,101400,P,4,450
Porsche,Panamera Turbo S E-Hybrid Sport Turismo,3996 cc,690,315,3.2,200200,H,4,870
Porsche,Panamera 4S E-Hybrid Executive,2894 cc,560,295,3.7,128900,H,4,750
Porsche,Panamera Platinum Edition,2894 cc,325,265,5.6,98300,P,4,450
Porsche,Panamera GTS Sport Turismo,3996 cc,473,300,3.9,136900,P,4,620
Porsche,Panamera Turbo Executive,3996 cc,550,306,3.8,175200,P,4,770
Porsche,Panamera Turbo S Exclusive Series,3996 cc,570,310,3.8,290000,P,4,800
Porsche,Panamera 4S,2894 cc,443,289,4.1,105000,P,4,550
Porsche,Macan Base,1984 cc,265,232,6.4,58000,P,5,400
Porsche,Macan T,1984 cc,265,233,6.2,63000,P,5,400
Porsche,Macan S,2894 cc,375,259,4.6,70400,P,5,520
Porsche,Macan GTS,2894 cc,434,272,4.3,82900,P,5,550
Porsche,Macan EV,95 kWh,603,240,4,85000,E,5,750
Porsche,Cayenne Base,2995 cc,335,245,5.9,72200,P,5,450
Porsche,Cayenne E-Hybrid,2995 cc,455,253,4.8,91000,H,5,700
Porsche,Cayenne S Coupe,2894 cc,434,263,4.7,94300,P,4,550
Porsche,Cayenne Turbo GT,3996 cc,631,300,3.3,182150,P,4,850
Porsche,Cayenne Platinum Edition,2995 cc,335,245,5.8,79000,P,5,450
Porsche,Cayenne Turbo S E-Hybrid Coupe,3996 cc,670,295,3.6,167800,H,4,900
Porsche,Cayenne GTS Coupe,3996 cc,453,270,4.5,111200,P,4,620
Porsche,Cayenne Diesel (Regional Markets),2967 cc,262,221,7.3,69000,D,5,580
Porsche,Cayenne S Hybrid,2995 cc,380,242,6.5,85500,H,5,580
Porsche,Cayenne Coupe Turbo E-Hybrid,3996 cc,728,295,3.6,182900,H,4,950
Porsche,Taycan Base,79.2 kWh,321,230,5.4,86700,E,4,345
Cadillac,CT4,2000 cc,237,250,6,34395,P,5,350
Cadillac,CT4-V,2700 cc,325,260,4.9,46595,P,5,500
Cadillac,CT5,2000 cc,237,240,6.6,38195,P,5,350
Cadillac,CT5-V,3000 cc,360,250,4.6,50995,P,5,550
Porsche,Taycan Cross Turismo 4,93.4 kWh,375,240,5.1,94800,E,4,500
Porsche,Taycan Cross Turismo GTS,93.4 kWh,590,250,3.8,139400,E,4,620
Porsche,Taycan Sport Turismo Base,79.2 kWh,375,230,5.4,90500,E,4,500
Porsche,Taycan Sport Turismo GTS,93.4 kWh,590,250,3.7,136700,E,4,620
Porsche,Taycan Turbo S Cross Turismo,93.4 kWh,750,260,2.9,190000,E,4,1050
Porsche,911 Carrera Base,2981 cc,379,293,4.2,106100,P,4,450
Porsche,911 Carrera S Cabriolet,2981 cc,443,304,3.9,129900,P,4,530
Porsche,911 Carrera 4,2981 cc,379,293,4.4,113300,P,4,450
Porsche,911 Carrera 4 GTS,2981 cc,473,311,3.3,137000,P,4,570
Porsche,911 Targa 4 GTS,2981 cc,473,307,3.5,157300,P,4,570
Porsche,911 Turbo Cabriolet,3745 cc,572,320,2.9,184100,P,4,750
Porsche,911 Turbo S Coupe,3745 cc,640,330,2.7,207000,P,4,800
Porsche,911 GT3 Touring,3996 cc,502,318,3.9,170000,P,2,470
Porsche,911 GT3 RS Clubsport,3996 cc,525,296,3.2,223800,P,2,465
Porsche,911 Dakar Limited Edition,2981 cc,473,240,3.4,222000,P,4,570
Porsche,911 Carrera GTS Lightweight,2981 cc,473,311,3.2,145300,P,4,570
Porsche,911 Targa 4 Lightweight,2981 cc,379,289,4.3,135500,P,4,450
Porsche,911 Turbo Exclusive Series,3745 cc,607,330,2.9,258000,P,4,750
Porsche,911 GT2 RS,3745 cc,700,340,2.8,293200,P,2,750
Porsche,911 GT3 Cup,3996 cc,510,290,3.4,245000,P,1,470
Porsche,911 GT4 RS,3996 cc,500,315,3.4,222000,P,2,450
Porsche,911 RSR (Motorsport Edition),4194 cc,515,296,3.1,750000,P,1,480
Porsche,911 Sport Turismo,2981 cc,379,293,4.4,116000,P,4,450
Porsche,911 Turbo Cabriolet Lightweight,3745 cc,572,318,3,191300,P,4,750
Porsche,911 Dakar Sport,2981 cc,473,240,3.5,233000,P,4,570
Tata Motors,Tiago,1199 cc,86,170,13,8200,P,5,113
Tata Motors,Tiago EV,24 kWh,74,120,5.7,11000,E,5,114
Tata Motors,Altroz,1199 cc / 1497 cc,272,170,12,10400,P,5,373
Tata Motors,Altroz DCA,1199 cc,86,170,12.5,11300,P,5,113
Tata Motors,Altroz iTurbo,1199 cc,110,180,10,12000,P,5,140
Tata Motors,Altroz CNG,1199 cc,86,165,12,11800,P,5,113
Tata Motors,Tiago NRG,1199 cc,86,170,13.5,9200,P,5,113
Tata Motors,Nano GenX,624 cc,37,105,29,4000,P,4,51
Tata Motors,Indica eV2,1396 cc,70,155,16,6200,D,5,140
Tata Motors,Indica V2 Xeta,1193 cc,65,140,16,5000,P,5,100
Tata Motors,Tigor,1199 cc,86,170,13,9400,P,5,113
Tata Motors,Tigor EV,26 kWh,74,120,5.7,14500,E,5,114
Tata Motors,Zest,1248 cc / 1199 cc,272,165,15,8700,P,5,373
Tata Motors,Indigo eCS,1396 cc,70,155,16.5,6500,D,5,140
Cadillac,Escalade,6200 cc,420,210,6.8,79295,P,7,624
Tata Motors,Indigo Marina,1396 cc,272,150,17,8300,P,5,373
Tata Motors,Manza,1248 cc / 1368 cc,272,160,14,9000,P,5,373
Tata Motors,Indigo LX,1396 cc,70,150,17,7000,D,5,140
Tata Motors,Indigo GLX,1396 cc,85,160,15,7200,P,5,115
Cadillac,Escalade ESV,6200 cc,420,205,6.9,82295,P,7,624
Tata Motors,Nexon,1199 cc / 1497 cc,272,180,10,14000,P,5,373
Tata Motors,Nexon EV Max,40.5 kWh,143,140,9,25000,E,5,250
Tata Motors,Harrier,1956 cc,168,180,11,23000,D,5,350
Tata Motors,Safari,1956 cc,168,180,11,25500,D,7,350
Tata Motors,Punch,1199 cc,86,160,16,10500,P,5,113
Tata Motors,Hexa,2179 cc,154,180,12,20000,D,7,400
Tata Motors,Aria,2179 cc,138,162,13,19000,D,7,320
Tata Motors,Sumo Gold,2956 cc,85,125,17.6,15000,D,7,250
Tata Motors,Sumo Grande,2179 cc,118,140,15,16500,D,7,250
Tata Motors,Nexon EV Prime,30.2 kWh,129,120,9.4,22000,E,5,245
Tata Motors,Tiago EV,24 kWh,74,120,5.7,11000,E,5,114
Tesla,Model S,100 kWh,670,250,3.1,88490,E,5,967
Tesla,Model S Plaid,100 kWh,1020,322,2.1,108490,E,5,1400
Tesla,Model 3,60 kWh,283,225,5.8,40240,E,5,420
Tesla,Model 3 Performance,82 kWh,450,261,3.1,53240,E,5,660
Tesla,Model X,100 kWh,670,250,3.8,98490,E,7,967
Tesla,Model X Plaid,100 kWh,1020,262,2.6,113490,E,6,1400
Tesla,Model Y,75 kWh,346,217,5,47490,E,5,498
Tesla,Model Y Long Range,82 kWh,384,217,4.8,50490,E,5,559
Tesla,Cybertruck,200 kWh,800,209,2.9,69900,E,6,1355
Tesla,Roadster 2,200 kWh,1288,402,1.9,200000,E,4,10000
Jeep,Wrangler,3600 cc,285,180,6.8,35195,P,4,353
Jeep,Wrangler Rubicon,2000 cc,270,180,7.1,42100,P,4,400
Jeep,Grand Cherokee,3600 cc,293,209,7,41530,P,5,352
Jeep,Grand Cherokee L,3600 cc,293,209,7.2,43530,P,7,352
Jeep,Cherokee,2400 cc,180,195,8.5,37695,P,5,230
Jeep,Compass,2000 cc,200,200,7.8,31590,P,5,320
Jeep,Renegade,1300 cc,177,200,8.7,28345,P,5,285
Jeep,Gladiator,3600 cc,285,177,8.1,38775,P,5,353
Jeep,Wagoneer,5700 cc,392,190,7.4,63595,P,8,548
Jeep,Grand Wagoneer,6400 cc,471,190,6,91495,P,8,617
Jeep,Grand Cherokee 4xe,17.3 kWh,375,210,6,59865,H,5,637
Jeep,Wrangler 4xe,17.3 kWh,375,180,6.4,50695,H,5,637
Jeep,Compass 4xe,11.4 kWh,240,200,7.3,46500,H,5,270
Jeep,Renegade 4xe,11.4 kWh,240,200,7.5,44500,H,5,270
Mazda,Mazda2,"1,500 cc",108,180,10.2,47000,P,5,142
Jeep,Wagoneer S (Electric),100 kWh,600,177,4.5,80000,E,5,850
Jeep,Gladiator Mojave Edition,3600 cc,285,177,8.6,51570,P,5,353
Jeep,Grand Cherokee Summit Reserve,5700 cc,357,190,7.3,66575,P,5,529
Jeep,Jeep Cherokee X Edition,3200 cc,271,195,7.6,41295,P,5,324
Jeep,Wrangler 392,6400 cc,470,160,4.5,82495,P,4,637
Cadillac,XT4,2000 cc,235,220,7.6,37490,P,5,350
Cadillac,XT5,3600 cc,310,210,6.5,44195,P,5,366
Cadillac,XT6,3600 cc,310,210,6.9,48595,P,7,366
Cadillac,Lyriq EV,100 kWh,340,190,5.7,58590,E,5,440
Cadillac,Escalade V,6200 cc,682,200,4.4,149990,P,7,885
Cadillac,Escalade Platinum,6200 cc,420,210,6.8,104595,P,7,624
Cadillac,CT5-V Blackwing,6200 cc,668,320,3.4,92000,P,5,893
Cadillac,CT4-V Blackwing,3600 cc,472,290,3.9,60495,P,5,603
Cadillac,XT4 Sport,2000 cc,235,220,7.4,41390,P,5,350
Cadillac,XT5 Sport,3600 cc,310,210,6.5,51095,P,5,366
Cadillac,XT6 Sport,3600 cc,310,210,6.9,57095,P,7,366
Cadillac,Lyriq Launch Edition,100 kWh,340,190,5.7,59990,E,5,440
Cadillac,Lyriq EV Premium,100 kWh,500,210,4.5,64990,E,5,620
Cadillac,CT5 Premium Luxury,2000 cc,237,240,6.8,41290,P,5,350
Chevrolet,Spark,1400 cc,98,180,10.7,14595,P,5,127
Chevrolet,Sonic,1400 cc,138,190,8.5,16720,P,5,200
Chevrolet,Malibu,1500 cc,160,210,8,25000,P,5,250
Chevrolet,Camaro,2000 cc,275,240,5.4,26400,P,4,400
Chevrolet,Corvette,6200 cc,495,312,3,65895,P,2,637
Chevrolet,Traverse,3600 cc,310,210,7,35915,P,7,360
Chevrolet,Equinox,1500 cc,170,200,8.9,26600,P,5,275
Chevrolet,Blazer,3600 cc,308,220,6.6,44000,P,5,366
